Complexity,Loss,Equation
1,0.0066233505,"g = 0.0; beta = [1.0343732, 549.71936, -1.1073711]"
2,0.0064661666,"g = #2; beta = [1.0331289, 2551.0212, -0.95674264]"
4,0.0063784425,"g = #2 * 0.63435817; beta = [1.0342414, 2551.0212, -0.95674264]"
5,0.00636729,"g = #2 - #1; beta = [1.034266, 2653.638, -0.3841874]"
7,0.006349163,"g = (#2 * 0.78723484) - #1; beta = [1.0330942, 2354.619, -0.45441276]"
8,0.006315539,"g = #2 - (#1 + #1); beta = [1.032094, 2367.2678, -2.3744917]"
10,0.006294853,"g = #2 - ((1.725542 * #1) + #1); beta = [1.032094, 2367.2678, -2.3744917]"
11,0.0062895524,"g = #2 - ((#1 + #1) + #1); beta = [1.0324186, 2253.9348, -1.550804]"
13,0.0062866476,"g = (((#1 * -1.3483764) - #1) + #2) - #1; beta = [1.0324217, 2160.9832, -2.8917196]"
16,0.0062637697,"g = (((#2 * 1.2323288) - (#1 + #1)) - #1) - #1; beta = [1.0322433, 2116.4238, -0.7482831]"
21,0.0062576537,"g = (#1 * -1.4630104) - (((#1 - #2) + (#1 - (#2 * 0.21021512))) + #1); beta = [1.0306973, 1995.9102, -1.7442601]"
29,0.006257318,"g = (#2 + (#2 * 0.27511612)) - ((#1 + (((#1 * -0.68744427) + #1) + #1)) - ((#1 * -0.8077284) - #1)); beta = [1.032705, 2253.9348, -1.550804]"
30,0.0062560714,"g = ((#1 * 0.07817216) * (-0.20716722 - #2)) - (((#2 * -0.020393392) + (#1 - (#2 * 1.2243125))) + (#1 + (#1 * 3.1586535))); beta = [1.0313741, 1797.6243, -17.736526]"
