Complexity,Loss,Equation
1,0.0066232956,"g = 0.0; beta = [1.3592855, 1.293803, 0.11242785]"
2,0.0065387036,"g = #2; beta = [1.0484211, 0.14241634, -0.047068052]"
6,0.00653744,"g = (#2 * 0.5316025) ^ 0.5316025; beta = [1.1077135, 0.14447817, 0.036260553]"
7,0.006491863,"g = (#1 * 4.2318926) - #2; beta = [1.1421051, 0.99157894, 0.05550609]"
9,0.0064662197,"g = (#1 * 10.756262) - (#2 * 2.369866); beta = [1.7608292, 4.9363246, 0.15169258]"
12,0.006466101,"g = (10.756266 * #1) - (#2 * (2.3697345 - #1)); beta = [1.760715, 4.9363074, 0.15411863]"
14,0.006465114,"g = (#1 * 10.756262) - ((#2 * 2.369866) + (#1 * -0.14319026)); beta = [1.7608292, 4.9363246, 0.15169258]"
15,0.0064647496,"g = ((#1 * 10.756266) - (#2 * (2.3697345 + #2))) + #1; beta = [1.760715, 4.9363074, 0.15411863]"
17,0.0064646844,"g = (#1 * 10.756262) - ((#2 * 0.120681055) + ((#2 * 1.1923212) + #2)); beta = [1.7608292, 4.9363246, 0.15169258]"
18,0.0064644497,"g = ((9.257942 * #1) - (#2 + #2)) - (#2 + (#1 * -5.0422773)); beta = [1.7654307, 2.9543247, 0.15200745]"
19,0.006459796,"g = (((#1 * 16.777287) - (#2 + #2)) - (#2 + #1)) - #1; beta = [2.019372, 4.8945403, 0.16793492]"
25,0.0064595514,"g = (#1 * 16.777245) - (((#1 + #2) + (#2 + (#2 + #1))) + (#2 - #2)); beta = [2.019475, 4.8945575, 0.16684149]"
