Complexity,Loss,Equation
1,0.50089073,"g = 0.0; beta = [1.2908375, 8.241151, -0.23492289]"
2,0.49053574,"g = #2; beta = [1.2738237, 1429.3557, -0.63703394]"
4,0.468777,"g = #2 * 7.4004655; beta = [1.267567, 2813.2395, -0.7024825]"
6,0.46146896,"g = (#2 * 6.7326307) ^ 2.4591548; beta = [1.2653129, 2813.24, -0.7025621]"
9,0.45011693,"g = (12.123792 * #2) - (41.784386 * #1); beta = [1.2574494, 2291.7542, -1.2966746]"
11,0.44600403,"g = (12.123792 * #2) - ((#1 * 41.784386) ^ 1.8059773); beta = [1.2574494, 2291.7542, -1.2966746]"
14,0.44584036,"g = ((#2 + 12.123792) * #2) - ((41.784386 * #1) ^ 1.8059773); beta = [1.2574494, 2291.7542, -1.2966746]"
19,0.44578868,"g = (((#2 + 12.123792) * #2) - ((#1 * 41.784386) ^ 1.8059773)) + (#1 * -1.0683715); beta = [1.2574494, 2291.7542, -1.2966746]"
24,0.4449479,"g = (#2 * 20.301558) - ((#1 * 34.478256) + ((#1 * 34.478256) + ((#2 ^ 0.82198083) * (#1 * 34.478256)))); beta = [1.2586886, 2734.2056, -1.0204332]"
27,0.4448024,"g = (#2 * (20.301558 - #2)) - ((34.478256 * #1) + ((#1 * 34.478256) + ((#1 * 34.478256) * (#2 ^ 0.82198083)))); beta = [1.2586886, 2734.2056, -1.0204332]"
