Complexity,Loss,Equation
1,0.35871053,"g = 1.0875558; beta = [0.00026087082, 1.1314903, -2.749843, 0.09279448]"
4,0.32020602,"g = #2 + 0.9982252; beta = [0.00050645357, 2.7559962, 0.42298213, 0.14020872]"
6,0.28972557,"g = 1.4068638 - (#1 * 11.861971); beta = [0.004660533, 23.221054, -0.01166262, 0.08911918]"
8,0.2897255,"g = (0.11523112 - (#1 * 11.861971)) + 1.2916327; beta = [0.004660533, 23.221054, -0.01166262, 0.08911918]"
9,0.23613642,"g = (#2 - (#1 * 6.6648884)) + 1.2401692; beta = [5.9282796e-5, 0.9017825, -1.8315363, 0.08727249]"
11,0.23270586,"g = ((#2 * 1.7356153) + 1.2185222) + (#1 * -11.7090225); beta = [0.0037649663, 23.221338, -0.01166262, 0.08911918]"
12,0.23097321,"g = #2 + ((#2 + 1.2622508) - (#1 * 14.471275)); beta = [0.01411064, 73.96372, -0.008437502, 0.09689572]"
13,0.22945753,"g = (((#2 + -0.07422324) ^ 0.46231204) - (#1 * 14.471266)) + 1.2622541; beta = [0.013990517, 73.96372, -0.008437502, 0.09689572]"
16,0.22912869,"g = (((#2 + -0.07536552) ^ 0.38962522) + (1.2315307 - (#1 * 14.227059))) - #1; beta = [0.013345245, 73.96318, -0.008437502, 0.09689572]"
21,0.22896151,"g = ((#2 + -0.07108399) ^ 0.40390667) + ((1.2621319 - (((#1 ^ 0.93334204) * 14.226259) - #1)) + #1); beta = [0.013211129, 73.963455, -0.008437502, 0.09689572]"
