Complexity,Loss,Equation
1,0.35871002,"g = 1.0873944; beta = [0.0014277649, 5.3940687, 0.79283684, -0.010333041]"
4,0.3206687,"g = #2 + 0.9688397; beta = [0.0013685725, 5.5705767, 0.0065591517, -0.009675014]"
6,0.2901969,"g = (0.12840103 - #1) * 9.988947; beta = [0.004710473, 15.461996, -0.94506544, 0.012393721]"
8,0.28878924,"g = ((0.12816794 - #1) * 9.830113) + 0.12816794; beta = [0.0025980135, 15.461996, 0.773129, -0.011069819]"
9,0.24097277,"g = #2 - ((#1 * 10.716772) + -1.3283465); beta = [0.001899386, 15.194831, 0.773129, -0.011069819]"
11,0.23100072,"g = (#2 * 2.288497) - ((#1 * 14.580245) + -1.1866996); beta = [0.013506242, 63.204575, 1.8149725, 0.0009699602]"
12,0.23082103,"g = #2 - (((#1 * 14.72866) + -1.2794279) - #2); beta = [0.011017594, 63.201065, 2.0472171, 0.0009699602]"
14,0.23059453,"g = (#2 * 1.2778366) - ((-1.235003 - #2) + (#1 * 14.599301)); beta = [0.011194598, 63.201553, -1.8648921, 0.0009699602]"
16,0.22795679,"g = ((#2 + -0.024811517) ^ 0.40485972) + (#2 - ((#1 * 19.242474) + -1.0883639)); beta = [0.034320224, 154.16797, 0.5467956, 0.00049263117]"
17,0.22457774,"g = (#2 ^ 0.6874538) + ((#2 + #2) - ((#1 * 23.607944) + -1.2196738)); beta = [0.07097727, 287.5388, -1.0543021, 0.0015429464]"
18,0.2213769,"g = (#2 + #2) + (#2 - ((#1 * 31.012953) + (-1.3316265 - #2))); beta = [0.13575505, 466.90228, -1.5660301, 1.9150517e-5]"
20,0.22135541,"g = #2 + (#2 + ((#2 - -0.04181187) - ((#1 * 30.99109) + (-1.2928542 - #2)))); beta = [0.13500291, 466.90344, -1.5660301, 1.9150517e-5]"
22,0.22095928,"g = ((#2 + (#2 ^ 0.7822594)) + (-0.08011406 + #2)) - ((#1 * 31.024204) + (-1.3141687 - #2)); beta = [0.14394802, 466.90173, -1.5660301, 1.9150517e-5]"
29,0.2191583,"g = ((#2 + (#2 + -0.18531847)) + (#2 ^ 0.4586246)) - ((#1 * 40.223324) + ((((#1 * 0.605321) ^ 0.06616921) + -2.1516774) - #2)); beta = [0.2646157, 761.3575, -1.186061, 1.553659e-5]"
