Complexity,Loss,Equation
1,0.35870627,"g = 1.0853872; beta = [0.0010352382, 3.964415, 0.6725861]"
4,0.32015646,"g = #2 + 0.99336094; beta = [0.00061479653, 3.1826453, 1.1946796]"
6,0.2904738,"g = (#1 ^ -0.08865124) - 0.30363497; beta = [0.0008924985, 3.964846, 0.6725861]"
7,0.24000368,"g = (#1 ^ -0.08193238) + #2; beta = [6.5590046e-7, 0.20744878, -4.9804177]"
9,0.23536511,"g = (#2 + (#1 ^ -0.081938185)) - 0.33126813; beta = [1.6871316e-5, 0.20744877, 4.8626385]"
11,0.23439391,"g = (#2 + 0.9615003) - ((#1 ^ -0.660279) * -0.012586001); beta = [2.4854988e-5, 0.5315164, 1.539998]"
16,0.22977926,"g = (#2 + 0.75802493) - (((#1 ^ -0.77958584) * -0.013672816) + (#1 * -4.664141)); beta = [4.207858e-5, 0.8856312, 2.0741498]"
18,0.22977924,"g = #2 + (0.75802493 - ((-0.013672816 * (#1 ^ -0.77958584)) + (#1 * (-4.68383 - -0.019688636)))); beta = [4.207858e-5, 0.8856312, 2.0741498]"
19,0.22966214,"g = (#2 + (0.7716979 - ((#1 * -5.506391) + ((#1 ^ -0.77958584) * -0.013669622)))) - #1; beta = [3.855956e-5, 0.8856312, 2.0741498]"
21,0.22956108,"g = (#2 - (((#1 * -5.5063815) + ((#1 ^ -0.7789564) * -0.013656195)) + (#1 * 1.3613946))) + 0.7677754; beta = [4.249227e-5, 0.8856861, 2.4997675]"
24,0.22953801,"g = (((0.30570757 - (((#1 ^ -0.77958584) * -0.01367245) + (#1 * -4.4006276))) + #2) + #1) + (0.4523174 - #1); beta = [4.37921e-5, 0.8856312, 2.0741498]"
30,0.22952972,"g = ((((#1 * (#2 + 0.61818117)) + #2) + 0.7677756) - ((#1 * -5.5063815) + ((#1 ^ -0.77895695) * -0.013632227))) - (#1 + #1); beta = [4.2065134e-5, 0.8856861, 2.4997675]"
