Complexity,Loss,Equation
1,0.3587045,"g = 1.0864481; beta = [0.0007709499, 3.0411725, 1.0037148]"
4,0.32015294,"g = #2 + 1.0058705; beta = [0.00052453927, 2.9917688, -0.6708725]"
6,0.28982705,"g = (#1 * -8.802435) + 1.2853911; beta = [0.0025197621, 10.027232, 0.68431664]"
8,0.28919527,"g = (#1 * -9.590848) + (0.47559455 + 0.8633129); beta = [0.0026047805, 12.557584, 0.47707152]"
9,0.2360114,"g = ((#1 * -7.441622) + #2) + 1.2563524; beta = [9.798213e-5, 1.3559264, 1.3656833]"
11,0.23388234,"g = (#2 * 1.5022895) + ((#1 * -10.05322) + 1.2705564); beta = [0.0008452766, 8.892194, 0.26055297]"
14,0.23386052,"g = (#2 + ((#2 * 0.62299496) + (#1 * -9.883515))) + 1.2205514; beta = [0.0015487736, 12.4866295, 0.47707152]"
16,0.23374845,"g = (#2 + ((#1 * -9.881812) + 0.51029897)) + ((#2 * 0.56535757) + 0.7158705); beta = [0.0015600112, 12.479726, 0.4918271]"
19,0.23317623,"g = (((#1 * -9.716742) + 1.2238109) - #1) + ((#2 * 0.55656433) + (#2 + 0.021318689)); beta = [0.002250255, 16.76333, 0.3125523]"
21,0.23309922,"g = ((((#1 * -9.692114) + 0.66955036) - #1) + 0.6407364) + ((#2 * 0.64223486) + (#2 + -0.07308441)); beta = [0.0022032922, 16.77995, 0.3125523]"
26,0.2330731,"g = ((0.5062457 - (#1 * 1.3586175)) + (((#2 + 0.71919996) + (#2 * 0.693933)) + ((#1 * -10.644776) + -0.015523458))) + #1; beta = [0.0038977058, 23.946625, 0.09831571]"
30,0.23302685,"g = ((((-0.05504669 - (#1 * 1.3586469)) + (#2 + 0.5611311)) + 0.7346426) + ((#2 * 0.693931) + -0.015604258)) + ((#1 * -10.644805) + (#1 + -0.01560282)); beta = [0.003942238, 23.946625, 0.09831571]"
