Complexity,Loss,Equation
1,0.35871026,"g = 1.0862546; beta = [1.2843274, 2808.4016, -0.12576862]"
4,0.30935436,"g = #2 * 8.8296385; beta = [0.71888393, 1738.0731, -0.06724783]"
6,0.29408294,"g = (#1 * -6.899263) + 1.1467006; beta = [0.00092854106, 2.0612285, -0.699038]"
8,0.23960236,"g = ((#1 ^ -0.90898883) * 0.10693677) + -2.5733752; beta = [1.1921387, 2743.8037, -0.02346177]"
9,0.15725644,"g = ((#1 ^ -0.8636989) * #2) + -2.6340344; beta = [1.1591054, 2743.8037, -0.02346177]"
11,0.15536769,"g = ((#1 ^ -0.77844715) * (#2 ^ 0.7521203)) + -3.3336031; beta = [1.1645577, 2743.8052, 0.026963765]"
16,0.15525185,"g = ((#1 ^ -0.09625432) * -2.7120988) + ((#2 ^ 0.6961291) * (#1 ^ -0.7844887)); beta = [1.1701199, 2808.4016, 0.14690693]"
18,0.15516153,"g = ((#1 ^ -0.76541924) * (#2 ^ 0.6134146)) + (-1.264783 - ((#1 ^ -0.19057806) * 1.5297412)); beta = [1.1790929, 2808.4016, 0.112537794]"
19,0.15507448,"g = ((#1 ^ -0.077340536) * (-2.7040565 - #2)) + ((#2 ^ 0.7390733) * (#1 ^ -0.7999202)); beta = [1.1821512, 2808.4016, -0.12576862]"
22,0.15503111,"g = ((#2 ^ 0.7414878) * (#1 ^ -0.7999202)) + (#1 + ((-2.7040565 - #2) * (#1 ^ -0.077340536))); beta = [1.1821512, 2808.4016, -0.12576862]"
24,0.15502812,"g = (((#2 ^ 0.7414878) * (#1 ^ -0.7999202)) + (1.0332892 * #1)) + ((-2.7040565 - #2) * (#1 ^ -0.077340536)); beta = [1.1821512, 2808.4016, -0.12576862]"
25,0.15502025,"g = ((#1 + ((#1 ^ -0.80856144) * (#2 ^ 0.76887494))) + ((#1 ^ -0.06123218) * (-2.7006493 - #2))) - #2; beta = [1.1866782, 2808.4016, -0.12576862]"
27,0.15501735,"g = (#1 + (((#1 ^ -0.81054765) * (#2 ^ 0.7674343)) + (((-2.7025816 - #2) * (#1 ^ -0.07443885)) - #2))) + 0.16079244; beta = [1.1802772, 2808.4016, -0.12576862]"
28,0.15497963,"g = ((#1 + (((#1 ^ -0.0616153) * (-2.7006822 - #2)) - #2)) + ((#2 ^ 0.7691725) * (#1 ^ -0.80789787))) + #1; beta = [1.1866329, 2808.4016, 0.13713697]"
30,0.15480572,"g = (((#1 + ((#1 ^ -0.80779535) * (#2 ^ 0.7270858))) + (((#1 ^ -0.12079613) * (-2.7330992 - #2)) - #2)) + #1) - -0.55049235; beta = [1.1800632, 2808.4016, -0.12576862]"
