Complexity,Loss,Equation
2,0.30502218,"g = 2.8809037; h = -12135.123; beta = [4.949319e-9, 3.5888176, -0.044063706]"
5,0.24000907,"g = 4.967823; h = #2 * -0.1248676; beta = [5.8505304e-14, 1.8607888, -0.070043]"
7,0.20457935,"g = (#1 * -11.67497) + 3.3959682; h = -11977.49; beta = [6.1371125e-10, 3.4417884, -0.022848882]"
10,0.123185486,"g = (#1 * -20.696836) + 5.1268654; h = #2 * -0.36062545; beta = [2.4502754e-14, 3.0246031, -0.045354757]"
13,0.07144071,"g = ((#1 * -20.696896) + #2) + 5.1276975; h = #2 * -0.26736352; beta = [2.4502754e-14, 3.0250106, -0.045356758]"
15,0.034756143,"g = ((#2 * 2.5320208) + 5.1333437) + (#1 * -20.696907); h = #2 * -0.1876179; beta = [2.4502754e-14, 3.0245776, -0.04535842]"
17,0.03030378,"g = (((#2 + 0.31281158) * 2.6933177) + 4.5272436) + (#1 * -20.690401); h = #2 * -0.13609928; beta = [2.4502754e-14, 2.9489505, -0.03772008]"
19,0.021028712,"g = ((#1 * -19.977577) + 6.1685386) + ((#2 ^ 0.46221074) * 2.0918999); h = (14.962801 - #2) * 0.06930061; beta = [4.3919915e-14, 4.529036, -0.07569349]"
22,0.019960675,"g = ((#2 ^ 0.5276536) * 2.0758233) + (((#1 * -19.97838) + 6.1253953) - #1); h = 11.380904 - (#2 * 0.0776615); beta = [4.3919915e-14, 4.5383167, 0.074535355]"
24,0.019933542,"g = ((#2 ^ 0.52751434) * 2.0758576) + (((#1 * -19.978378) + 6.125487) - #1); h = (11.238605 - (#2 * 0.07762183)) + 0.14229871; beta = [4.3919915e-14, 4.5382967, 0.07453539]"
