Complexity,Loss,Equation
1,0.3579123,"j = -1.3802048; beta = [0.00016617871, 0.33798736, -2.8304822]"
6,0.2773357,"j = 5.3788505 - (#1 ^ 0.21220663); beta = [-0.00016328499, -0.21562901, 1.691771]"
12,0.277265,"j = (#1 - (#1 ^ 0.21729435)) - (#1 - 5.6214566); beta = [-0.00019439717, -0.26175088, -1.4685931]"
14,0.2772234,"j = ((#1 - (#1 ^ 0.21729435)) - (#1 - 5.6052103)) + 0.016246457; beta = [-0.00019439717, -0.26175088, -1.4685931]"
16,0.27720967,"j = ((#1 - ((#1 ^ 0.21634406) - -0.82607204)) - (#1 + -0.62908924)) + 5.77111; beta = [-0.00019033645, -0.25399774, -1.4685931]"
18,0.27720332,"j = 5.771107 + ((#1 - (((#1 + 2.8510725) ^ 0.21633434) - -0.8260759)) - (#1 + -0.62908614)); beta = [-0.00018906099, -0.253999, -1.4685931]"
20,0.2771554,"j = ((#1 - ((#1 ^ 0.21781927) - #1)) + ((5.7956295 - #1) - #1)) - 0.15102336; beta = [0.0001960801, 0.26321504, -1.4410841]"
22,0.27714816,"j = ((#1 - (((#1 + 1.1923974) ^ 0.21781927) - #1)) + ((5.7956295 - #1) - #1)) - 0.15102334; beta = [0.0001960801, 0.26321504, -1.4410841]"
23,0.27701005,"j = ((((5.7956295 - #1) - #1) + #1) - ((#1 ^ 0.21781927) - #1)) - (#1 ^ -0.22391964); beta = [0.0001960801, 0.26321504, -1.4410841]"
25,0.27693847,"j = ((((5.7956295 - #1) - #1) + (#1 - ((#1 ^ 0.21781927) - #1))) - (#1 ^ -0.22391964)) - -0.004748583; beta = [0.0001960801, 0.26321504, -1.4410841]"
27,0.27689505,"j = (((#1 - ((#1 ^ 0.21781927) - #1)) + (((5.7956295 - #1) - #1) - 0.052432537)) - (#1 ^ -0.22391964)) - -0.05718112; beta = [0.0001960801, 0.26321504, -1.4410841]"
