Complexity,Loss,Equation
1,0.22835791,"g = 5.8560967; beta = [-8.8451674e-13, 20.395882, 5.7614707e-6, -0.038602673]"
4,0.19712405,"g = #1 + 4.303674; beta = [4.5943412e-11, 12.748534, -3.6020418e-5, -0.21684723]"
6,0.18044096,"g = (#1 + 2.5785694) ^ 1.5294278; beta = [-1.5008889e-9, 24.779367, 7.732695e-6, -0.15669748]"
7,0.17822796,"g = (#1 + 5.0463047) + #1; beta = [2.8547137e-11, 15.662533, -8.874608e-7, -0.044680662]"
9,0.1772637,"g = ((#1 * 1.2889589) + 5.3424516) + #1; beta = [-1.1760724e-12, 20.417133, 1.362253e-5, 0.103220366]"
10,0.17249058,"g = #1 + (#1 + (#1 + 5.073001)); beta = [2.6739161e-11, 18.691671, -9.440795e-7, -0.056721848]"
12,0.17187715,"g = (#1 + ((1.5571556 * #1) + 5.30983)) + #1; beta = [-3.6416842e-10, 40.881474, 1.1555618e-6, -0.1223107]"
15,0.17174825,"g = (#1 + (((#1 * 0.5875595) + 5.30983) + #1)) + #1; beta = [-3.6416842e-10, 40.881474, 1.1555618e-6, -0.1223107]"
23,0.17174454,"g = (#1 + (5.30983 - #1)) + (#1 + ((#1 * 1.5571556) - ((#1 * -0.01665748) - #1))); beta = [-3.6416842e-10, 40.881474, 1.1555618e-6, -0.1223107]"
26,0.17158931,"g = (((((#1 * 1.5571556) - ((#1 * (#1 + -0.16576728)) - #1)) - #1) + 5.30983) + #1) + #1; beta = [-3.6416842e-10, 40.881474, 1.1555618e-6, -0.1223107]"
28,0.17156613,"g = 5.30983 + ((((#1 - #1) + (1.5571556 * #1)) - (((1.5571556 * #1) * #1) + (-1.2472911 * #1))) + #1); beta = [-3.6416842e-10, 40.881474, 1.1555618e-6, 0.12712584]"
