Complexity,Loss,Equation
1,0.2669332,"g = 0.705255; beta = [0.004674036, 1.2111754, -0.00035266456, -0.0068170754, -1.305738, -0.18646656]"
4,0.21903498,"g = 0.6793883 - #1; beta = [0.004951454, 0.9340987, -0.00047885155, -0.04983834, 1.0273421, -0.16172782]"
6,0.21593015,"g = 0.68063265 - (#1 * 1.1422648); beta = [0.004951454, 0.9340987, -0.00047885155, 0.05242241, -0.8811173, -0.16172782]"
7,0.19149776,"g = (0.70209676 - #1) - #1; beta = [0.004951454, 0.9340987, -0.00047885155, 0.051479265, 1.0273421, -0.16172782]"
8,0.18312766,"g = 0.6623095 - (-2.2678182 * (0.018946085 - #1)); beta = [0.004951454, 0.9340987, -0.00047885155, 0.038438726, 0.7922888, 0.19078115]"
9,0.18280984,"g = (0.66179794 + (#2 ^ 1.8930131)) - #1; beta = [0.004951454, 0.9340987, -0.00047885155, -0.04983834, -0.8811173, -0.16172782]"
10,0.17380844,"g = ((#2 * #2) + 0.66212374) - #1; beta = [0.004951454, 0.9340987, -0.00047885155, 0.051479265, 1.0273421, -0.16172782]"
11,0.13809069,"g = ((#2 * 0.34211627) - (#1 * 2.1480274)) + 0.66179794; beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, 0.14857239]"
12,0.1287217,"g = (0.63287014 - #1) + ((#2 * 0.4965099) - #1); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
14,0.12609208,"g = (#2 * (0.4965099 - -0.017352989)) + ((0.63287014 - #1) - #1); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
15,0.11071843,"g = (((#2 * 0.4580998) - #1) - #1) + (0.66179794 - #1); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
16,0.11019568,"g = (#2 * 0.4965099) + (((0.66179794 - #1) - (#1 * 1.8114367)) - 0.010507355); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
17,0.1064543,"g = ((#2 * 0.4965099) - #1) + ((0.66179794 - #1) - (#1 * 1.3396726)); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
19,0.106389016,"g = ((0.66179794 - (#1 ^ 1.1058142)) - (#1 * 1.6651903)) + ((#2 * 0.4965099) - #1); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
20,0.10601904,"g = ((#2 * 0.51921105) - #1) + ((0.66179794 - #1) - (#1 * (1.508678 - #1))); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
26,0.105956025,"g = ((#2 * 0.51921105) + (((#1 * #1) - #1) + (0.66179794 - #1))) - (#1 * (1.508678 - #1)); beta = [0.004951454, 0.9340987, -0.00047885155, 0.041022763, -0.8811173, -0.16172782]"
