Complexity,Loss,Equation
1,79.33333,"g = 11.999991"
4,4.704727,"g = #1 ^ 2.0885723"
6,0.13801454,"g = (#1 ^ 2.0024083) + 2.8020225"
9,0.13654727,"g = (#1 * (#1 + -0.03225728)) + 2.9139762"
11,0.103922896,"g = (((#1 + 0.3595362) ^ 2.0243692) + 3.0399463) - #1"
13,0.08812345,"g = (((#1 + 0.43390986) ^ 2.0707002) - (#1 ^ 1.2962569)) + 2.8404126"
15,0.088018216,"g = ((((0.43390986 + #1) ^ 2.0707002) - (#1 ^ 1.2962569)) + 2.8404126) - -0.006399036"
16,0.08619368,"g = (3.0087802 + (((#1 + 0.029317325) ^ 2.1047585) - (#1 ^ 1.4232191))) + #1"
20,0.0860497,"g = (((((#1 + 0.029317325) ^ 2.1047585) - (#1 ^ 1.4232191)) + 3.0087802) + (#1 - -0.11094269)) + -0.12254228"
25,0.084919035,"g = ((#1 ^ 0.47971493) + (#1 * #1)) + (2.996266 - ((#1 * (#1 + 0.93316066)) - (#1 ^ 2.06142)))"
27,0.08490939,"g = ((((#1 ^ 0.47221568) + (#1 * #1)) + 3.285305) - (((#1 + 0.9308793) * #1) - (#1 ^ 2.0616863))) - 0.28838578"
