Complexity,Loss,Equation
1,0.22294635,"g = 0.7228086; beta = [0.012950941, 4.4305496, 0.19205332, 1.9411908]"
4,0.20791835,"g = #2 + 0.61226416; beta = [0.03319292, 18.799019, -3.3665805, 0.8736582]"
6,0.19703205,"g = (#1 ^ -0.17506978) * 0.37777436; beta = [0.022343999, 11.589873, -4.800575, 1.1335465]"
8,0.19633071,"g = ((#1 ^ -0.2398539) * 0.258223) + 0.07320111; beta = [0.04591257, 26.884773, 4.7482076, 1.5213897]"
9,0.17673847,"g = #2 + ((#1 ^ -0.26011014) * 0.22422361); beta = [0.04200508, 26.884996, 4.7482076, 1.5213897]"
11,0.17646131,"g = #2 + (((#1 ^ -0.2810757) * 0.19605693) - -0.0570452); beta = [0.037416574, 26.884888, 4.7482076, 1.5213897]"
12,0.17094314,"g = (((#1 ^ -0.5466272) * 0.06278093) + #2) + #2; beta = [0.18259768, 223.32178, -0.24630609, 0.37734625]"
14,0.17092767,"g = #2 + ((#2 - 0.0057240976) + ((#1 ^ -0.5394075) * 0.06657057)); beta = [0.17923816, 223.32176, -0.24630609, 0.37734625]"
16,0.16653833,"g = (-0.6393073 + #2) + ((#2 * 2.1095936) + ((#1 ^ -0.45161796) * 0.17152482)); beta = [0.2913014, 382.5023, -0.055632677, 0.31827033]"
18,0.16648638,"g = ((#2 * 2.109609) + -0.5894793) + (#2 + (((#1 ^ -0.4518244) * 0.17172383) + -0.0496145)); beta = [0.2914243, 382.5023, -0.055632677, 0.31827033]"
19,0.16088521,"g = ((((#2 * 1.8161093) + #2) + ((#1 ^ -0.51868725) * 0.1627075)) + #2) + -0.9662777; beta = [0.50626725, 769.5293, -0.36110938, 0.88498604]"
