Complexity,Loss,Equation
1,0.2602609,"g = 2.2487006; beta = [1.717111e-5, 23.488117, 8.317688, -2.3002164]"
4,0.20573181,"g = #1 ^ -0.14824168; beta = [7.598344e-6, 3.740069, 1.93061, 0.7529876]"
6,0.16363455,"g = (#1 * -14.820306) + 2.7826695; beta = [3.907856e-6, 20.927643, 6.985979, 4.163766]"
7,0.11217767,"g = #2 + (#1 ^ -0.15947063); beta = [5.2164847e-5, 20.92763, 6.9859786, 4.1637654]"
9,0.094157964,"g = (#2 + (#1 * -8.799802)) + 2.4568207; beta = [1.107321e-9, 0.60394144, 3.896023, 0.43019572]"
10,0.08757707,"g = ((#1 ^ -0.15947057) + #2) + #2; beta = [2.5430363e-5, 20.92763, 6.9859786, 4.1637654]"
12,0.0867392,"g = (#2 + #2) + ((#1 * -14.992284) + 2.629441); beta = [2.2129143e-6, 20.934982, 6.9857373, 4.1637754]"
15,0.08670806,"g = ((#2 + (#1 * (#2 + -14.82031))) + #2) + 2.625867; beta = [2.1805256e-6, 20.92764, 6.985979, 4.163766]"
16,0.08641873,"g = ((#2 - -0.76829165) * 1.2349935) + (#2 + ((#1 * -14.966222) + 1.6146363)); beta = [2.6375574e-6, 20.915545, 6.9877334, 4.163033]"
20,0.08639902,"g = (((#2 * (#1 + 0.13093163)) + 2.6403255) + (#2 + #2)) + (#1 * -15.639524); beta = [1.9987187e-6, 20.934784, 6.985717, 4.163774]"
25,0.08639159,"g = ((((#2 + #1) + (#1 * -15.639465)) + (#2 * 0.20434412)) + ((#1 * -0.92638856) + #2)) + 2.6389036; beta = [1.9208092e-6, 20.934765, 6.9857197, 4.163775]"
26,0.086376935,"g = ((#1 * -15.639523) + (#2 + (#2 + (((#1 + 0.13095213) * #2) + 2.640284)))) + (#2 * #1); beta = [1.9762392e-6, 20.934782, 6.985717, 4.163774]"
29,0.08637563,"g = (#2 + #2) + (((#1 * #1) + (((#1 + 0.13093163) * #2) + 2.6403255)) + (#1 * (#1 + -15.639524))); beta = [1.9987187e-6, 20.934784, 6.985717, 4.163774]"
